,title,sonnet_num,line,line_number_global,line_number,neg,neu,pos,compound,Verbs,Nouns,Adverbs,Corpus
719,Sonnets,52.0,"Since seldom coming, in the long year set,",720.0,6,0.0,1.0,0.0,0.0,come set,year,seldom,seldom come long year set 
720,Sonnets,52.0,"Like stones of worth they thinly placed are,",721.0,7,0.0,0.577,0.423,0.5267,place,stone,thinly,like stone worth thinly place 
721,Sonnets,52.0,Or captain jewels in the carcanet.,722.0,8,0.0,0.625,0.375,0.4588,,captain jewel carcanet,,captain jewel carcanet 
722,Sonnets,52.0,"So is the time that keeps you as my chest,",723.0,9,0.0,1.0,0.0,0.0,keep,time chest,,time keep chest 
723,Sonnets,52.0,"Or as the wardrobe which the robe doth hide,",724.0,10,0.175,0.825,0.0,-0.1779,,wardrobe robe doth,,wardrobe robe doth hide 
724,Sonnets,52.0,"To make some special instant special blest,",725.0,11,0.0,0.481,0.519,0.6597,make,blest,,special instant special blest 
725,Sonnets,52.0,By new unfolding his imprison'd pride.,726.0,12,0.0,0.676,0.324,0.34,unfold,pride,,new unfold imprison d pride 
726,Sonnets,52.0,"Blessed are you whose worthiness gives scope,",727.0,13,0.0,0.606,0.394,0.5994,bless give,worthiness scope,,bless worthiness give scope 
727,Sonnets,52.0,"Being had, to triumph, being lack'd, to hope.",728.0,14,0.0,0.5,0.5,0.7184,triumph hope,,, triumph lack d hope 
728,Sonnets,53.0,"What is your substance, whereof are you made,",729.0,1,0.0,1.0,0.0,0.0,make,substance,,substance whereof 
729,Sonnets,53.0,That millions of strange shadows on you tend?,730.0,2,0.205,0.795,0.0,-0.2023,tend,million shadow,,million strange shadow tend 
730,Sonnets,53.0,"Since every one hath, every one, one shade,",731.0,3,0.0,1.0,0.0,0.0,,hath shade,,hath shade 
731,Sonnets,53.0,"And you, but one, can every shadow lend:",732.0,4,0.0,1.0,0.0,0.0,can lend,shadow,, shadow lend 
732,Sonnets,53.0,"Describe Adonis, and the counterfeit",733.0,5,0.0,1.0,0.0,0.0,,counterfeit,,Describe Adonis counterfeit
733,Sonnets,53.0,Is poorly imitated after you;,734.0,6,0.0,1.0,0.0,0.0,imitate,,poorly,poorly imitate 
734,Sonnets,53.0,"On Helen's cheek all art of beauty set,",735.0,7,0.0,0.648,0.352,0.5859,,cheek art beauty set,,Helen cheek art beauty set 
735,Sonnets,53.0,And you in Grecian tires are painted new;,736.0,8,0.0,1.0,0.0,0.0,paint,tire,,grecian tire paint new 
736,Sonnets,53.0,"Speak of the spring and foison of the year,",737.0,9,0.0,1.0,0.0,0.0,speak,spring foison year,,speak spring foison year 
737,Sonnets,53.0,"The one doth shadow of your beauty show,",738.0,10,0.0,0.648,0.352,0.5859,,doth shadow beauty show,,doth shadow beauty 
738,Sonnets,53.0,"The other as your bounty doth appear,",739.0,11,0.0,1.0,0.0,0.0,appear,bounty doth,,bounty doth appear 
739,Sonnets,53.0,And you in every blessed shape we know.,740.0,12,0.0,0.642,0.358,0.5994,know,shape,,blessed shape know 
740,Sonnets,53.0,"In all external grace you have some part,",741.0,13,0.0,0.714,0.286,0.4215,,grace part,,external grace 
741,Sonnets,53.0,"But you like none, none you, for constant heart.",742.0,14,0.0,0.711,0.289,0.5023,,none none heart,,like constant heart 
742,Sonnets,54.0,O how much more doth beauty beauteous seem,743.0,1,0.0,0.389,0.611,0.8335,seem,beauty,how much,o doth beauty beauteous
743,Sonnets,54.0,By that sweet ornament which truth doth give!,744.0,2,0.0,0.518,0.482,0.68,give,ornament truth,,sweet ornament truth doth 
744,Sonnets,54.0,"The rose looks fair, but fairer we it deem",745.0,3,0.0,0.829,0.171,0.1655,look fairer deem,,,rose look fair fairer deem
745,Sonnets,54.0,For that sweet odor which doth in it live.,746.0,4,0.0,0.727,0.273,0.4588,live,doth,,sweet odor doth live 
746,Sonnets,54.0,The canker-blooms have full as deep a dye,747.0,5,0.0,1.0,0.0,0.0,,canker bloom dye,,canker bloom deep dye
747,Sonnets,54.0,"As the perfumed tincture of the roses,",748.0,6,0.0,1.0,0.0,0.0,,tincture rose,,perfumed tincture rose 
748,Sonnets,54.0,"Hang on such thorns, and play as wantonly,",749.0,7,0.0,0.745,0.255,0.34,hang play,thorn,wantonly,hang thorn play wantonly 
749,Sonnets,54.0,When summer's breath their masked buds discloses;,750.0,8,0.0,1.0,0.0,0.0,mask,summer breath bud disclose,when,summer breath mask bud disclose 
750,Sonnets,54.0,"But for their virtue only is their show,",751.0,9,0.0,0.654,0.346,0.5719,,virtue show,only,virtue 
751,Sonnets,54.0,"They live unwoo'd, and unrespected fade,",752.0,10,0.0,1.0,0.0,0.0,live,unwoo'd fade,,live unwoo d unrespected fade 
752,Sonnets,54.0,"Die to themselves. Sweet roses do not so,",753.0,11,0.302,0.465,0.233,-0.2263,die,rose,so,die sweet rose 
753,Sonnets,54.0,Of their sweet deaths are sweetest odors made:,754.0,12,0.0,0.7,0.3,0.4588,make,death odor,,sweet death sweetest odor 
754,Sonnets,54.0,"And so of you, beauteous and lovely youth,",755.0,13,0.0,0.442,0.558,0.8207,,youth,so, beauteous lovely youth 
755,Sonnets,54.0,"When that shall vade, by verse distills your truth.",756.0,14,0.0,0.777,0.223,0.3182,shall vade,verse distill truth,when,shall vade verse distill truth 
756,Sonnets,55.0,Not marble nor the gilded monuments,757.0,1,0.0,1.0,0.0,0.0,gild,marble monument,,marble gild monument
757,Sonnets,55.0,"Of princes shall outlive this pow'rful rhyme,",758.0,2,0.0,1.0,0.0,0.0,shall outlive,prince rhyme,,prince shall outlive pow rful rhyme 
758,Sonnets,55.0,But you shall shine more bright in these contents,759.0,3,0.0,0.651,0.349,0.6474,shall shine,content,more,shall shine bright content
759,Sonnets,55.0,"Than unswept stone, besmear'd with sluttish time.",760.0,4,0.348,0.652,0.0,-0.4939,besmear'd,stone time,,unswept stone besmear d sluttish time 
760,Sonnets,55.0,"When wasteful war shall statues overturn,",761.0,5,0.438,0.562,0.0,-0.5994,shall statue,war overturn,when,wasteful war shall statue overturn 
761,Sonnets,55.0,"And broils root out the work of masonry,",762.0,6,0.0,1.0,0.0,0.0,root,broil work masonry,,broil root work masonry 
762,Sonnets,55.0,Nor Mars his sword nor war's quick fire shall burn,763.0,7,0.0,0.816,0.184,0.2584,shall burn,sword war fire,,Mars sword war quick fire shall burn
763,Sonnets,55.0,The living record of your memory.,764.0,8,0.0,1.0,0.0,0.0,live,record memory,,live record memory 
764,Sonnets,55.0,'Gainst death and all-oblivious enmity,765.0,9,0.494,0.506,0.0,-0.5994,,death enmity,all, Gainst death oblivious enmity
765,Sonnets,55.0,"Shall you pace forth; your praise shall still find room,",766.0,10,0.0,0.714,0.286,0.5574,Shall pace shall find,praise room,forth still,Shall pace forth praise shall find room 
766,Sonnets,55.0,Even in the eyes of all posterity,767.0,11,0.0,1.0,0.0,0.0,,eye posterity,even,eye posterity
767,Sonnets,55.0,That wear this world out to the ending doom.,768.0,12,0.252,0.748,0.0,-0.4019,wear end,world doom,,wear world end doom 
768,Sonnets,55.0,"So till the judgement that yourself arise,",769.0,13,0.0,1.0,0.0,0.0,arise,judgement,so,till judgement arise 
769,Sonnets,55.0,"You live in this, and dwell in lovers' eyes.",770.0,14,0.0,0.588,0.412,0.5994,live,dwell lover eye,,live dwell lover eye 
770,Sonnets,56.0,"Sweet love, renew thy force, be it not said",771.0,1,0.0,0.493,0.507,0.802,renew say,love force,,sweet love renew thy force say
771,Sonnets,56.0,"Thy edge should blunter be than appetite,",772.0,2,0.0,1.0,0.0,0.0,thy should blunter,edge,,thy edge blunter appetite 
772,Sonnets,56.0,"Which but to-day by feeding is allay'd,",773.0,3,0.0,1.0,0.0,0.0,feed,day,, day feed allay d 
773,Sonnets,56.0,To-morrow sharp'ned in his former might.,774.0,4,0.0,1.0,0.0,0.0,sharp'ne,morrow might,, morrow sharp ne 
774,Sonnets,56.0,"So, love, be thou: although to-day thou fill",775.0,5,0.0,0.609,0.391,0.6697,,love day,so, love thou day thou fill
775,Sonnets,56.0,"Thy hungry eyes even till they wink with fullness,",776.0,6,0.0,1.0,0.0,0.0,thy wink,eye fullness,even,thy hungry eye till wink fullness 
776,Sonnets,56.0,"Tomorrow see again, and do not kill",777.0,7,0.0,0.616,0.384,0.5773,see kill,tomorrow,again,tomorrow kill
777,Sonnets,56.0,The spirit of love with a perpetual dullness:,778.0,8,0.195,0.325,0.48,0.5423,,spirit love dullness,,spirit love perpetual dullness 
778,Sonnets,56.0,Let this sad int'rim like the ocean be,779.0,9,0.267,0.517,0.216,-0.1531,let,int'rim ocean,,let sad int rim like ocean
779,Sonnets,56.0,"Which parts the shore, where two contracted new",780.0,10,0.0,1.0,0.0,0.0,part contract,shore,where,part shore contract new
780,Sonnets,56.0,"Come daily to the banks, that when they see",781.0,11,0.0,1.0,0.0,0.0,come see,bank,daily when,come daily bank 
781,Sonnets,56.0,"Return of love, more blest may be the view;",782.0,12,0.0,0.656,0.344,0.6369,may,return love blest view,more,return love blest view 
782,Sonnets,56.0,"As call it winter, which being full of care,",783.0,13,0.0,0.714,0.286,0.4939,call,winter care,,winter care 
783,Sonnets,56.0,"Makes summer's welcome thrice more wish'd, more rare.",784.0,14,0.0,0.7,0.3,0.4588,make,summer welcome thrice wish'd,more more,make summer welcome thrice wish d rare 
784,Sonnets,57.0,"Being your slave, what should I do but tend",785.0,1,0.0,1.0,0.0,0.0,should tend,slave,,slave tend
785,Sonnets,57.0,Upon the hours and times of your desire?,786.0,2,0.0,0.722,0.278,0.4019,,hour time desire,,hour time desire 
786,Sonnets,57.0,"I have no precious time at all to spend,",787.0,3,0.185,0.504,0.311,0.3612,spend,time,at all,precious time spend 
787,Sonnets,57.0,"Nor services to do, till you require.",788.0,4,0.0,1.0,0.0,0.0,require,service,,service till require 
788,Sonnets,57.0,"Nor dare I chide the world-without-end hour,",789.0,5,0.0,1.0,0.0,0.0,dare chide,world end hour,,dare chide world end hour 
789,Sonnets,57.0,"Whilst I, my sovereign, watch the clock for you,",790.0,6,0.0,1.0,0.0,0.0,watch,clock,,whilst sovereign watch clock 
790,Sonnets,57.0,"Nor think the bitterness of absence sour,",791.0,7,0.0,0.727,0.273,0.3089,think,bitterness absence sour,,think bitterness absence sour 
791,Sonnets,57.0,When you have bid your servant once adieu .,792.0,8,0.0,1.0,0.0,0.0,bid adieu,servant,when once,bid servant adieu 
792,Sonnets,57.0,Nor dare I question with my jealous thought,793.0,9,0.333,0.667,0.0,-0.4588,dare question,thought,,dare question jealous thought
793,Sonnets,57.0,"Where you may be, or your affairs suppose,",794.0,10,0.0,1.0,0.0,0.0,may suppose,affair,where, affair suppose 
794,Sonnets,57.0,But like a sad slave stay and think of nought,795.0,11,0.288,0.486,0.226,-0.2263,think,slave stay nought,,like sad slave stay think nought
795,Sonnets,57.0,Save where you are how happy you make those.,796.0,12,0.0,0.504,0.496,0.7845,save make,,where how,save happy 
796,Sonnets,57.0,So true a fool is love that in your will,797.0,13,0.193,0.364,0.443,0.6267,,fool love will,so,true fool love
797,Sonnets,57.0,(Though you do any thing) he thinks no ill.,798.0,14,0.417,0.583,0.0,-0.6124,think,thing,, thing think ill 
798,Sonnets,58.0,That god forbid that made me first your slave,799.0,1,0.202,0.614,0.184,-0.0516,forbid make,slave,first,god forbid slave
799,Sonnets,58.0,"I should in thought control your times of pleasure,",800.0,2,0.0,0.654,0.346,0.5719,should control,thought time pleasure,,thought control time pleasure 
800,Sonnets,58.0,"Or at your hand th' account of hours to crave,",801.0,3,0.0,0.738,0.262,0.4939,crave,hand account hour,,hand th account hour crave 
801,Sonnets,58.0,Being your vassal bound to stay your leisure.,802.0,4,0.0,1.0,0.0,0.0,bind stay,vassal leisure,,vassal bind stay leisure 
802,Sonnets,58.0,"O, let me suffer (being at your beck)",803.0,5,0.333,0.667,0.0,-0.5423,let suffer,beck,,o let suffer beck 
803,Sonnets,58.0,"Th' imprison'd absence of your liberty,",804.0,6,0.0,0.595,0.405,0.5267,,th absence liberty,,th imprison d absence liberty 
804,Sonnets,58.0,"And patience, tame to sufferance, bide each check,",805.0,7,0.0,1.0,0.0,0.0,sufferance bide,patience check,,patience tame sufferance bide check 
805,Sonnets,58.0,Without accusing you of injury.,806.0,8,0.383,0.41,0.207,-0.3142,accuse,injury,,accuse injury 
806,Sonnets,58.0,"Be where you list, your charter is so strong,",807.0,9,0.0,0.654,0.346,0.6418,list,charter,where so,list charter strong 
807,Sonnets,58.0,That you yourself may privilege your time,808.0,10,0.0,0.706,0.294,0.3612,may privilege,time,,privilege time
808,Sonnets,58.0,"To what you will, to you it doth belong",809.0,11,0.0,1.0,0.0,0.0,will belong,doth,, doth belong
809,Sonnets,58.0,Your self to pardon of self-doing crime.,810.0,12,0.324,0.463,0.213,-0.296,pardon do,self self crime,,self pardon self crime 
810,Sonnets,58.0,"I am to wait, though waiting so be hell,",811.0,13,0.411,0.589,0.0,-0.7076,wait wait,hell,so,wait wait hell 
811,Sonnets,58.0,"Not blame your pleasure, be it ill or well.",812.0,14,0.388,0.335,0.277,-0.3944,blame,pleasure,well,blame pleasure ill 
